Page,Bridge,Type,Year_Built,Year_Demolished,Latitude,Longitude,River_Name,Photo_Path,Image_Source,Notes
39,30th Street Bridge,Through Truss,1887,1921,40.46216,-79.976595,Allegheny,Photos/Allegheny/30th_Street_1887.jpg,Pittsburgh History & Landmarks Foundation,"In 1887, a bridge designed by Gustav Lindenthal was constructed over the Allegheny River’s main channel from Thirtieth Street in Lawrenceville to Herr’s Island, where stockyards and slaughterhouses were being developed. The wooden deck caught fire in 1921, destroying the bridge as well as several coal barges that were docked below."
39,30th Street Temporary Pedestrian Bridge,Suspension,1921,1928,40.46216,-79.976595,Allegheny,Photos/Allegheny/30th_Street_Temp_1921.jpg,"Bruce Cridlebaugh, pghbridges.com",The main channel portion of the 30th St Bridge was destroyed by fire in 1921. A temporary cable suspension bridge was built for pedestrians while the current bridge at 31st St was completed.
41,31st Street Bridge,Arch,1928,,40.463013,-79.975943,Allegheny,Photos/Allegheny/31st_Street_1928.jpg,Todd Wilson,"The Thirtieth Street Bridge’s replacement was constructed at Thirty-first Street in 1927–1928. The Thirty-First Street Bridge crossed both Allegheny River channels and Herr’s Island. It was designed by Allegheny County Department of Public Works engineers Vernon Covell and Norman Brown. The bridge was similar to the nearby Washington Crossing (Fortieth Street) Bridge, built four years prior, but it was simpler in design.

Pittsburgh’s art commission rejected the Thirty-first Street Bridge’s proposed through-truss design in 1923, preferring arches beneath the road and unobstructed views from the deck. This desire required a longer, costlier bridge that could not directly connect to Herr’s Island."
43,43rd Street (Ewalt Street) Bridge,Wooden Covered Truss,1870,1924,40.475208,-79.966726,Allegheny,Photos/Allegheny/43rd_Street_1870.jpg,Carnegie Library of Pittsburgh,"In 1870, a covered wooden toll bridge was constructed across the Allegheny River connecting 43rd (Ewalt) Street in Lawrenceville with Millvale Borough. It was declared an obstruction to navigation in 1917 because of its short spans and low vertical clearance. In 1922, severe winds pushed it out of plumb. The roof was removed, and the bridge was anchored with steel bracing until its replacement opened in 1924."
32,Andy Warhol Bridge (Seventh Street Bridge),Suspension,1926,,40.4466,-79.99978,Allegheny,Photos/Allegheny/Seventh_Street_Andy_Warhol_1926.jpg,Todd Wilson,"In 1917, the US secretary of war mandated the replacement of low Allegheny River Bridges, including the Sixth, Seventh, and Ninth Street Bridges. The Municipal Art Commission vetoed initial designs, preferring three identical suspension bridges that minimized structural members above the bridge decks, preserving views of the city from the bridges.

Previous Allegheny River suspension bridges had experienced problems with cable slippage at
their anchorages. With buildings and an elevated railroad along the Allegheny’s downtown side, deep excavation for anchorages was unpractical. County engineers chose a self-anchored suspension design, never before tried in America, but similar to the 1915 Cologne-Deutz Bridge
in Germany. The American Bridge Company built the bridges as cantilevered trusses, keeping the river channel clear for navigation.

The Sixth Street Bridge was completed in 1928 and the Seventh and Ninth Street bridges in 1926. Known as the “Three Sisters,” the bridges have received many awards and commendations and have been featured in movies.

They are now named after baseball legend Roberto Clemente, artist Andy Warhol, and environmentalist Rachel Carson."
62,B&O Railroad Bridge,Through Truss,1915,,40.398198,-79.931331,Monongahela,Photos/Monongahela/B_O_Railroad_1915.jpg,Todd Wilson,The 1884 Whipple truss was replaced by the current Pennsylvania truss bridge (pictured) in 1915. The American Bridge Company constructed the new crossing.
59,Birmingham Bridge,Arch,1976,,40.433361,-79.9735,Monongahela,Photos/Monongahela/Birmingham_1976.jpg,Todd Wilson,"The 607-foot tied arch Birmingham Bridge was completed in 1976, seven years after its piers were constructed. Planned to be part of a highway from the South Side through Oakland to the Allegheny River valley, the bridge has stubs for ramps to the highway that was never built."
58,Brady Street Bridge,Through Truss,1896,1978,40.433106,-79.973144,Monongahela,Photos/Monongahela/Brady_Street_1896.jpg,Pittsburgh Department of Public Works,"After Birmingham (South Side) was annexed by Pittsburgh in 1868, residents were frustrated that all Monongahela River bridges into the city had tolls. After years of agitation, the Brady Street Bridge was built as Pittsburgh’s first free river bridge. It was constructed in 1895–1896 by the Schultz Bridge & Iron Company.

The Brady Street Bridge experienced problems with piers cracking soon after it opened. By 1909,
the northern river pier, visible here in the background, had settled 16 inches. By the 1960s, the Brady Street Bridge was deteriorating structurally and unable to meet growing traffic demands. Its replacement, the Birmingham Bridge, opened in 1976. The Brady Street Bridge was demolished on Memorial Day 1978."
46,Brilliant Cutoff Railroad Bridge,Through Truss,1904,,40.486618,-79.905343,Allegheny,Photos/Allegheny/Brilliant_Railroad_1904.jpg,Todd Wilson,"Pennsylvania Railroad’s Brilliant Cutoff was constructed from 1903 to 1904, designed as an eastern bypass for rail congestion in downtown Pittsburgh. The line's Allegheny River Bridge is a three-span Parker through truss. The railroad eventually abandoned the Brilliant Cutoff, which was purchased by the Allegheny Valley Railroad in 1995."
63,Brown's Bridge,Through Truss,1897,1938,40.413455,-79.914787,Monongahela,Photos/Monongahela/Browns_1897.jpg,Wilson Family Collection,"The Homestead & Highland Bridge was known as Brown’s Bridge because it was built by a group of investors led by steamboat company owner Capt. Samuel S. Brown. The five-span Parker through truss bridge opened around 1897, connecting the bustling steel town of Homestead with Pittsburgh’s East End. The 1,300-foot-long bridge carried trolleys, pedestrians, carriages, and, later, automobiles.

By the 1920s, Brown’s Bridge was a bottleneck. The nine-foot lanes were unsuitable for traffic
serving the Homestead Steel Works. Approximately 180 trains per day blocked rail crossings in
Homestead for an average of two hours per day. After the 1937 Pittsburgh-Homestead High Level
Bridge opened downstream, Brown’s Bridge was dropped into the river, span by span,"
